,Accepts Credit Cards,Accepts Bitcoin,Accepts Insurance,Alcohol,Appointment Only,Caters,Coat Check,Delivers,Dogs AllowedHair Types Specialized In,Happy Hour,TV,Outdoor Seating,Parking,Smoking Allowed,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,Opened 24hrs,Gender Neutral BathroomsAmbience,Attire,Best Nights,Good For Dancing,Good For Groups,Good For Kids,Good For Meals Served,Music,Noise Level,Price Range,price_range,health_score,overall_rating,overall_reviews
50005183,,,,,,No,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,Inexpensive,,4.0,153
41073985,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.0,281
40526406,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,Live,,,Pricey,A,4.0,150
40671007,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,161
41479731,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,Under $10,A,3.5,104
41068920,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,DJ,,,$11-30,A,3.5,214
50012158,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,Live,,,Moderate,B,4.0,67
41520610,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,4.0,662
40567533,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Moderate,A,3.5,187
41467165,,,,No,,No,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,Under $10,A,3.5,121
50066911,,,,Beer & Wine Only,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,$11-30,A,3.0,73
50036696,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,,4.0,201
50074809,,,,Beer & Wine Only,,No,,,,,,,"Garage, Street",,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.0,144
50053069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,5.0,1
50005405,,,,Full Bar,,,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,382
40789156,,,,Full Bar,,Yes,,,,,,,"Street, Private Lot",,Yes,,,,,,,Casual,,,,,,,,,$11-30,,3.5,68
41497832,,,,Beer & Wine Only,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Moderate,,4.0,199
41464542,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,4.0,557
41304210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,3.0,9
40936973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate,A,5.0,2
50045947,,,,No,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,$11-30,A,4.0,201
40738920,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,4.0,320
40850087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,4.0,528
41480442,,,,Full Bar,,No,,,,,,,Street,,No,,,,,,,Dressy,,,,,,,,,$31-60,,2.5,126
41014823,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Moderate,A,4.0,186
40368271,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Inexpensive,A,4.0,112
41016585,,,,Full Bar,,No,,,,,,,,,No,,,,,,,Dressy,,,,,,,,,Above $61,,2.5,60
41199571,,,,Full Bar,,Yes,,,,,,,Street,,No,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,148
50057253,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,226
50048433,,,,No,,Yes,,,,,,,,,Yes,,,,,,,Casual,,,,,,,,,Under $10,A,3.5,208
40513184,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,Juke Box,,,Inexpensive,A,3.5,354
50003078,,,,Full Bar,,,,,,,,,Garage,,,,,,,,,,,,,,,,,,Pricey,A,3.0,186
50016770,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,4.0,349
50000803,,,,Beer & Wine Only,,Yes,,,,,,,,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.0,60
41571350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pricey,A,2.5,816
50001807,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,DJ,,,Moderate,,3.5,492
40603807,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.0,357
41721673,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,B,3.0,163
41523650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,4.0,12
41298603,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,1815
50072059,,,,No,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,,4.5,42
41543887,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Dressy,,,,,,,,,$31-60,A,4.0,3039
40522190,,,,Beer & Wine Only,,Yes,,,,,,,"Garage, Street",,No,,,,,,,Casual,,,,,,,,,$11-30,A,4.0,181
41649130,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,1408
50043978,,,,Full Bar,,No,,,,,,,Street,,No,,,,,,,Casual,,,,,,Background,,,$31-60,A,3.5,135
40398578,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,DJ,,,Moderate,A,3.0,82
40715372,,,,No,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,Under $10,A,4.0,143
41322152,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,Under $10,A,3.0,929
50013284,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,Juke Box,,,$11-30,A,3.0,148
50036199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pricey,A,3.0,164
40603807,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.0,357
50034739,,,,Full Bar,,No,,,,,,,,,Yes,,,,,,,Casual,,,,,,,,,$11-30,,3.5,78
40396532,,,,Beer & Wine Only,,No,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,$11-30,A,3.0,297
41443726,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,Juke Box,,,Inexpensive,A,3.5,214
50063834,,,,Full Bar,,Yes,,,,,,,Street,,No,,,,,,,Casual,,,,,,,,,$31-60,A,3.5,624
41249167,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Moderate,A,3.5,60
50057332,,,,Full Bar,,Yes,,,,,,,Street,,No,,,,,,,Casual,,,,,,,,,$31-60,A,3.5,324
41348712,,,,Full Bar,,No,,,,,,,,,No,,,,,,,Dressy,,,,,,,,,Above $61,,4.5,32
50050961,,,,Full Bar,,Yes,,,,,,,"Garage, Street",,Yes,,,,,,,Casual,,,,,,,,,$31-60,,3.5,326
41171815,,,,No,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,Under $10,A,4.5,55
41576836,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,4.0,6
50007126,,,,No,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,$11-30,A,3.5,137
50049008,,,,No,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,$11-30,A,4.0,45
40362098,,,,Beer & Wine Only,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.0,138
50013823,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,DJ,,,Inexpensive,A,3.5,49
41066767,,,,Full Bar,,Yes,,,,,,,"Garage, Street",,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,231
40660748,,,,Full Bar,,No,,,,,,,Street,,No,,,,,,,Casual,,,,,,,,,$31-60,A,4.0,1735
50056770,,,,No,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,$11-30,A,2.5,87
41639573,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.0,866
50000880,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,,4.0,1129
50053557,,,,No,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,$11-30,,2.5,48
40835721,,,,,,No,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,Moderate,A,3.5,503
50078482,,,,No,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,$11-30,A,4.5,188
41202176,,,,Full Bar,,No,,,,,,,,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,340
50008145,,,,Beer & Wine Only,,Yes,,,,,,,"Garage, Street",,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,4.0,378
40550666,,,,,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,Inexpensive,A,4.0,87
41454101,,,,No,,No,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,Under $10,A,2.5,93
40378874,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,Live,,,Moderate,A,4.0,181
40572098,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Moderate,A,3.5,228
50043879,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Pricey,A,3.5,1151
40365871,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Dressy,,,,,,,,,$11-30,A,4.0,71
40723644,,,,Full Bar,,No,,,,,,,Street,,No,,,,,,,Casual,,,,,,,,,$11-30,B,4.0,809
40732696,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Under $10,A,4.0,27
41538728,,,,,,,,,,,,,Garage,,,,,,,,,,,,,,,,,,,A,3.0,332
41390998,,,,Beer & Wine Only,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,$11-30,,2.5,137
40812630,,,,Full Bar,,Yes,,,,,,,,,No,,,,,,,Casual,,,,,,,,,$31-60,A,3.5,1138
50040533,,,,Beer & Wine Only,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,$11-30,,4.0,273
50034094,,,,,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,Moderate,A,3.0,67
41649377,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Inexpensive,A,2.0,12
41559999,,,,Full Bar,,No,,,,,,,"Garage, Street",,Yes,,,,,,,Casual,,,,,,,,,$11-30,,4.0,377
41356747,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,Juke Box,,,$11-30,A,3.5,224
50045727,,,,No,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,Under $10,A,3.0,136
50000832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,4.0,330
50011049,,,,No,,Yes,,,,,,,Garage,,Yes,,,,,,,,,,,,,,,,$11-30,,3.5,172
50055081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pricey,A,4.0,221
41100350,,,,Full Bar,,No,,,,,,,Street,,No,,,,,,,,,,,,,,,,$31-60,A,4.0,1356
50016770,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,4.0,349
50039396,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$31-60,B,3.5,1259
50043979,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,4.0,372
41238209,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Under $10,A,3.0,2
40948625,,,,Full Bar,,No,,,,,,,,,No,,,,,,,Casual,,,,,,Background,,,$31-60,A,3.0,19
50040782,,,,Full Bar,,,,,,,,,,,,,,,,,,,,,,,,Juke Box,,,Moderate,A,3.5,49
50047825,,,,Full Bar,,No,,,,,,,,,Yes,,,,,,,Casual,,,,,,,,,$31-60,,3.5,342
41172740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,4.5,2
50037442,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,205
40585860,,,,Full Bar,,No,,,,,,,Street,,No,,,,,,,Dressy,,,,,,,,,Above $61,A,4.5,1913
50044736,,,,Beer & Wine Only,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,4.0,104
50044252,,,,Beer & Wine Only,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,$11-30,A,2.5,46
40689838,,,,,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Moderate,,4.5,15
40536599,,,,,,,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,Under $10,B,2.5,25
40574293,,,,No,,No,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,Under $10,B,4.0,330
41007946,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Moderate,,3.5,663
41629513,,,,No,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,Under $10,A,3.5,51
41674628,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,B,4.0,266
50035825,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,DJ,,,Moderate,A,3.5,49
41304210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,3.0,9
50003258,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,4.0,184
41428049,,,,Full Bar,,,,,,,,,"Garage, Street",,,,,,,,,,,,,,,,,,Moderate,A,3.5,93
41222832,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Moderate,B,2.5,396
40661616,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,Live,,,$11-30,A,3.5,208
40866977,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,Live,,,$11-30,A,3.5,77
40364389,,,,Full Bar,,No,,,,,,,Street,,No,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,361
40369810,,,,Full Bar,,Yes,,,,,,,"Garage, Street",,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,544
40379304,,,,Full Bar,,No,,,,,,,"Garage, Street",,No,,,,,,,Dressy,,,,,,,,,Above $61,A,4.5,1485
40379920,,,,No,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,2.0,285
40385161,,,,Full Bar,,No,,,,,,,Street,,No,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,87
40388578,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,Juke Box,,,$11-30,A,4.0,419
40394007,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Moderate,,4.0,229
40396494,,,,No,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,255
40397624,,,,No,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,$11-30,A,3.0,37
40400185,,,,No,,No,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,$11-30,,3.0,54
40401453,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,429
40403586,,,,Full Bar,,Yes,,,,,,,,,No,,,,,,,Formal (Jacket Required),,,,,,,,,$31-60,A,4.0,39
40482586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,4.0,75
40513609,,,,Beer & Wine Only,,No,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,$11-30,A,3.0,458
40547272,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Pricey,A,4.0,1393
40566482,,,,,,No,,,,,,,,,Yes,,,,,,,,,,,,,,,,Under $10,A,2.0,17
40573929,,,,Full Bar,,,,,,,,,,,No,,,,,,,Dressy,,,,,,,,,$31-60,A,3.0,24
40593315,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,88
40621072,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,$11-30,A,3.5,219
40634713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,95
40635454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ultra High-End,A,4.0,35
40662495,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,Live,,,Moderate,A,3.5,256
40674838,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,$11-30,A,2.5,212
40680918,,,,Full Bar,,Yes,,,,,,,,,Yes,,,,,,,Casual,,,,,,,,,$11-30,,3.5,35
40690158,,,,No,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.0,53
40694767,,,,Beer & Wine Only,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,182
40705931,,,,Full Bar,,No,,,,,,,Street,,No,,,,,,,Dressy,,,,,,,,,Above $61,A,4.5,920
40709138,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,844
40720911,,,,Beer & Wine Only,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Moderate,A,4.0,148
40724274,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.0,160
40750264,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,2.0,2
40786413,,,,Full Bar,,,,,,,,,"Garage, Street, Validated",,,,,,,,,,,,,,,,,,Ultra High-End,A,2.5,30
40798867,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,DJ,,,Moderate,A,3.5,154
40856729,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Pricey,A,4.0,1641
40933601,,,,Full Bar,,Yes,,,,,,,"Valet, Private Lot",,Yes,,,,,,,,,,,,,,,,,,3.5,28
40938384,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,B,3.0,156
40942438,,,,Full Bar,,,,,,,,,Garage,,,,,,,,,,,,,,,Background,,,Pricey,,3.5,77
40943615,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,Live,,,Moderate,A,4.0,458
40957772,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Moderate,A,4.0,282
40973003,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,Juke Box,,,Inexpensive,A,3.5,319
40980389,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,4.0,62
41068567,,,,Full Bar,,,,,,,,,"Valet, Street",,,,,,,,,,,,,,,,,,Pricey,A,2.5,19
41071907,,,,No,,No,,,,,,,,,Yes,,,,,,,,,,,,,,,,Under $10,A,4.5,9
41084540,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Moderate,A,3.0,97
41086770,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.0,224
41098073,,,,Full Bar,,No,,,,,,,"Garage, Street",,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,877
41116590,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,Background,,,Moderate,A,4.5,135
41122435,,,,No,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,Under $10,A,4.0,20
41138984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pricey,A,2.5,816
41141330,,,,No,,No,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,Under $10,B,4.0,315
41166914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,1.5,20
41183605,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Inexpensive,A,3.5,170
41211538,,,,Full Bar,,No,,,,,,,,,No,,,,,,,Dressy,,,,,,,,,$31-60,,2.5,105
41212475,,,,No,,No,,,,,,,,,Yes,,,,,,,Casual,,,,,,,,,Under $10,A,2.0,2
41218434,,,,No,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,Under $10,A,3.0,148
41218950,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,Juke Box,,,Inexpensive,A,3.5,271
41228468,,,,Full Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,Inexpensive,,3.0,49
41229106,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.0,330
41243023,,,,Full Bar,,,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,4.0,247
41246747,,,,Beer & Wine Only,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,4.0,571
41248529,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.0,277
41269802,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,P,3.5,435
41275275,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,DJ,,,Moderate,A,3.5,174
41276535,,,,Full Bar,,,,,,,,,Valet,,,,,,,,,,,,,,,,,,Inexpensive,A,3.5,11
41281111,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,DJ,,,Ultra High-End,A,3.0,343
41281518,,,,Beer & Wine Only,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,$11-30,A,4.0,1076
41313515,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Moderate,,3.0,4
41317579,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Moderate,A,4.0,465
41331156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate,A,3.5,186
41363184,,,,,,No,,,,,,,,,Yes,,,,,,,,,,,,,,,,Moderate,A,4.0,165
41384170,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Pricey,A,4.5,1333
41388993,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,4.0,191
41391961,,,,Full Bar,,No,,,,,,,,,No,,,,,,,Dressy,,,,,,,,,$31-60,A,3.5,250
41401638,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,$11-30,A,3.5,321
41405007,,,,Full Bar,,Yes,,,,,,,Street,,No,,,,,,,Dressy,,,,,,,,,$31-60,A,4.0,682
41405368,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,Juke Box,,,$11-30,A,4.0,147
41410066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,9
41426958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate,A,3.5,110
41439621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate,A,4.0,57
41446051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate,A,4.0,176
41477483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate,A,3.5,48
41528368,,,,,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,Moderate,A,4.0,3937
41531114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,3.5,105
41554670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,235
41317579,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,Moderate,A,4.0,465
41556790,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,668
41563445,,,,Full Bar,,Yes,,,,,,,"Garage, Street",,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,195
41573739,,,,No,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,Under $10,A,4.0,460
41576850,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,4.0,326
41599313,,,,Beer & Wine Only,,No,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,$11-30,A,3.5,119
41616112,,,,Full Bar,,Yes,,,,,,,"Garage, Street",,Yes,,,,,,,Casual,,,,,,,,,$11-30,A,3.5,328
41617019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,4.0,6
41619055,,,,Full Bar,,Yes,,,,,,,"Garage, Street",,Yes,,,,,,,Casual,,,,,,DJ,,,$11-30,A,4.0,1023
41627949,,,,Full Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,Pricey,A,3.5,218
41630613,,,,No,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,Under $10,,4.0,42
41631962,,,,No,,No,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,Under $10,A,3.0,31
41633315,,,,Full Bar,,Yes,,,,,,,,,Yes,,,,,,,Casual,,,,,,,,,$11-30,,3.0,182
41637054,,,,Beer & Wine Only,,No,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,$11-30,A,2.5,181
41637125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,4.0,64
41638085,,,,Beer & Wine Only,,Yes,,,,,,,Garage,,Yes,,,,,,,,,,,,,,,,$11-30,A,4.5,31
41639734,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Dressy,,,,,,Background,,,$31-60,B,4.0,745
41646166,,,,No,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,Under $10,A,3.5,389
41672199,,,,Beer & Wine Only,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,$11-30,B,4.0,684
41672903,,,,Full Bar,,Yes,,,,,,,Street,,No,,,,,,,Dressy,,,,,,,,,$31-60,A,4.0,409
41682864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,1.5,16
41688540,,,,No,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,$11-30,A,2.5,42
