,DBA,fetched_restaurant,similarity_index,sentiment_score,Accepts Credit Cards,Accepts Bitcoin,Accepts Insurance,Alcohol,Appointment Only,Caters,Coat Check,Delivers,Dogs AllowedHair Types Specialized In,Happy Hour,TV,Outdoor Seating,Parking,Smoking Allowed,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,Opened 24hrs,Gender Neutral BathroomsAmbience,Attire,Best Nights,Good For Dancing,Good For Groups,Good For Kids,Good For Meals Served,Music,Noise Level,Price Range,health_score,overall_rating,overall_reviews,price_range,violation_score
40396488,AUCTION HOUSE,Fortuna Auction House,76.0,0.8911999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.333333333333332
40398690,DOC HOLIDAYS,Doc Hollidays,92.0,0.5675465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.333333333333334
40398690,DOC HOLIDAYS,Doc Hollidayв‡Юs,92.0,0.5675465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.333333333333334
40399910,PIECES,Pieces,100.0,0.6392567164179102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
40401104,1020 BAR,1020 Bar,100.0,0.5348608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.25
40403579,THE TAP ROOM,The Tap Room,100.0,0.6763776923076924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.666666666666667
40483696,BROOKS ATKINSON THEATER,Brooks Atkinson Theatre,96.0,0.6701602040816327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.666666666666666
40511479,CIBAR,Cibar,100.0,0.7233964999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0
40512852,DOC WATSONS,Doc Watsons,96.0,0.6475679999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.25
40513164,MCGEES PUB,McGees Pub,95.0,0.6670794999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.25
40536280,TRINITY PUB,Trinity Pub,100.0,0.8316632075471704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
40537494,810 DELI & CAFE,810 Deli & Cafe,100.0,0.24024666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
40559634,TICK TOCK DINER,Tick Tock Diner,100.0,0.4158665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0
40560941,LYCEUM THEATRE,Lyceum Theatre,100.0,0.661075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3333333333333335
40577676,SARABETH'S KITCHEN,Sarabeths East,67.0,0.6880879999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2
40599004,BOTANICA BAR,Botanica Bar,100.0,0.7322460000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
40601189,LE GLACIER,Le Glacier,100.0,-0.10049999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4
40605319,42ND STREET PIZZA DINER,42nd Street Pizza,85.0,0.17430266666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.333333333333334
40610554,THE SUMMIT,The Summit Bar,83.0,0.8730129999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.666666666666666
40645418,IBM EXECUTIVE DINING ROOM,Crowne Plaza White Plains-Downtown,24.0,0.4006883495145632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
40652016,NEW YORK UNIVERSITY- HALL CAFE/BURGER STUDIO,New York University,60.0,0.44984255319148947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
40665359,VIC'S,Vics,80.0,0.8695989999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.333333333333333
40666183,QUEEN VIC,Queen Vic,100.0,0.7826973684210524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.666666666666666
40719059,PARK BAR,Park Bar,100.0,0.7182415662650596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.75
40723673,FAT BLACK PUSSY CAT,The Fat Black Pussycat,88.0,0.6660365000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
40729819,GUASTAVINO'S,Guastavinos,92.0,0.5922074626865671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.333333333333332
40736836,SILVER STAR RESTAURANT,Silver Star Resturant,98.0,0.6929750000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
40761262,CIRCLE IN THE SQUARE THEATRE,Circle in the Square Theatre,100.0,0.7154216216216218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.666666666666667
40861252,SWEET & VICIOUS,Sweet & Vicious,100.0,0.46909100000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
40879015,KITCHENETTE UPTOWN,Kitchenette Uptown,100.0,0.6087330000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.333333333333334
40906725,WASHINGTON SQUARE CAFE,Washington Square Cafe,100.0,0.9928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.666666666666667
40922983,COSI,Cosi,100.0,0.4409949367088605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
40942444,HUDSON BAR,Hudson Bar,100.0,0.41251875000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0
40951884,GUY & GALLARD,Guy & Gallard,100.0,0.0812272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.666666666666666
40957421,RARE BAR & GRILL,RARE Bar & Grill,100.0,0.6700535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6
40966076,WELCOME TO THE JOHNSON'S,Welcome to the Johnsonв‡Юs,96.0,0.3212695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.333333333333332
40969077,BOSTON MARKET,Boston Market,100.0,0.26126575342465763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
41012946,TIME WARNER(CAFETERIA),Park Cafe - Time Warner Center,62.0,0.8674333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.75
41022886,THE RANDOLPH AT BROOME,The Randolph,71.0,0.6092253424657534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0
41040365,FANELLI CAFE,Fanelliв‡Юs Cafe,92.0,0.7040499999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.666666666666666
41041142,ROGUE,Rogue - CLOSED,53.0,0.7065855000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.25
41056088,BUA,Bua,100.0,0.7887030000000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.75
41074207,SMALLS JAZZ CLUB,Smalls Jazz Club,100.0,0.7715455000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.666666666666668
41090212,MINNIE'S,Minnieв‡Юs,88.0,0.8721525773195877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.333333333333334
41091640,HARRINGTON'S BAR & GRILL,Harringtonв‡Юs Bar & Grill,96.0,0.3130328859060403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
41102997,TAJ II,Taj Lounge,50.0,0.3691694444444446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0
41126055,LITTLE BRANCH,Little Branch,100.0,0.7482749999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0
41159730,SHADES OF GREEN,Shades of Green,100.0,0.4160255319148935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0
41162796,ABC KITCHEN,ABC Kitchen,100.0,0.7814045000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.25
41247222,THE THIRD PALM TREE,Trina Turk | Mr Turk,46.0,0.93986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.333333333333334
41252214,LAZY POINT,Lazy Point,100.0,0.7094725490196078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0
41289273,HOT & CRUSTY,Billyв‡Юs Hot Dog Cart,50.0,0.856647619047619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
41296528,EVOLVE,Evolve,100.0,0.3487333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.333333333333332
41344075,SONNIER & CASTLE,Sonnier & Castle Food,86.0,0.9109999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5
41363774,RATTLE N HUM,Rattle and Hum,92.0,0.7184633333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
41371241,DEAN & DELUCA,Dean & DeLuca,100.0,0.6045134999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.666666666666666
41372091,GOSSIPS,Gossip House,74.0,0.875528735632184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0
41396476,LEA WINE BAR,Lea Wine Bar,100.0,0.7446984374999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
41420036,SPIN NEW YORK,SPIN New York,100.0,0.8369933333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.666666666666666
41429540,GROUND SUPPORT CAFE,Ground Support,85.0,0.6856985000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5
41436874,THE CROSBY STREET HOTEL,Crosby Street Hotel,90.0,0.815569767441861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.25
41456472,B BAR AND GRILL,B Bar & Grill,86.0,0.5067495000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.75
41458571,WESTVILLE,Westville Dumbo,75.0,0.8140079999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4
41462348,BENVENUTO CAFE,Benvenuto Cafe,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
41463394,HEARTLAND BREWERY,Heartland Brewery,100.0,0.5964345000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.333333333333334
41470760,THE TOOL BOX,The Tool Box,100.0,0.6419382352941176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
41471964,DRUNKEN HORSE,The Drunken Horse,87.0,0.805859259259259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
41478031,GUY & GALLARD,Guy & Gallard,100.0,0.4544877358490566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6
41499185,BURGER & BARREL,Burger & Barrel,100.0,0.7054415000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.25
41507371,LE PAIN QUOTIDIEN,Le Pain Quotidien,100.0,0.43666973684210536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
41519587,BLIND BARBER,Blind Barber,100.0,0.5992545000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.666666666666666
41530127,INTERNATIONAL BAR,International Bar,100.0,0.0708230769230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.333333333333333
41614537,FLAMING SADDLES SALOON,Flaming Saddles Saloon,100.0,0.7286880952380953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.666666666666666
41618158,STONE STREET COFFEE COMPANY,Stone Street Coffee Company,100.0,0.7737859154929576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.666666666666668
41621240,CITY SWIGGERS,City Swiggers,100.0,0.6837416107382551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.666666666666666
41625961,DUNKIN' DONUTS,Dunkin Donuts,96.0,-0.1444388888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
41628361,THE AINSWORTH,The Ainsworth,100.0,0.5657979999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.333333333333332
41628608,LILLIE'S,ilili,62.0,0.8389810000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4
41631630,ROCKWOOD MUSIC HALL (STAGE ZERO),Rockwood Music Hall,75.0,0.8055979999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.333333333333334
41635392,JUICE GENERATION,Juice Generation,100.0,0.6956278688524592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.333333333333333
41640535,BALDUCCI'S,Balducciв‡Юs Gourmet On The Go,47.0,0.6299241379310344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5
41640846,RANDOLPH BEER,Randolph Beer,100.0,0.5754583333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0
41642375,HARLEM FOOD BAR,Harlem Food Bar,100.0,0.6739729999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
41651838,BEER AUTHORITY,Beer Authority,100.0,0.5473945000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8
41659498,WORLD YACHT DUCHESS,World Yacht,73.0,0.7725493670886078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.333333333333334
41664437,BOCADO CAFE,Bocado Cafe,100.0,0.73724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.666666666666666
41664553,THE NATIONAL,National,80.0,0.49756550000000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.166666666666668
41670151,CAFE OLIVIERO,Cafє© Oliviero,92.0,0.22313164556962028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0
41680620,TERROIR AT THE PORCH,Terroir At The Porch,100.0,0.800196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.666666666666666
41695128,COFFEE & CRUMBS,Empire Coffee & Tea Company,52.0,0.7500774999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.75
40396488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,
40398690,,,,,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,Juke Box,,,A,3.5,240.0,Inexpensive,
40399910,,,,,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,DJ,,,A,3.5,134.0,Inexpensive,
40401104,,,,,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,Background,,,A,3.5,125.0,Inexpensive,
40403579,,,,,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,76 out of 100,3.5,130.0,$11-30,
40483696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,3.5,98.0,,
40511479,,,,,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,DJ,,,,4.0,284.0,Pricey,
40512852,,,,,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,Live,,,A,3.5,225.0,$11-30,
"40513164,,,,Full Bar,,No,,,,,,,""Garage, Street"",,Yes,,,,,,,Casual,,,,,,,,,A,3.5,557,$11-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40536280,,,,,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,A,4.0,106.0,Moderate,
40537494,,,,,,,,No,,No,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,A,3.0,162.0,$11-30,
40560941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,3.5,101.0,,
40577676,,,,,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,A,3.5,602.0,$11-30,
40599004,,,,,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,A,4.0,340.0,Inexpensive,
40601189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,2.0,2.0,Inexpensive,
40605319,,,,,,,,Beer & Wine Only,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,A,2.5,75.0,$11-30,
40610554,,,,,,,,Full Bar,,Yes,,,,,,,Street,,No,,,,,,,Casual,,,,,,Background,,,A,4.0,380.0,$11-30,
40645418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83 out of 100,3.0,103.0,Moderate,
40652016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,95.0,,
40666183,,,,,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,A,4.0,76.0,Inexpensive,
40719059,,,,,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,A,3.5,166.0,Moderate,
40723673,,,,,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,DJ,,,A,3.5,508.0,Moderate,
40729819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,3.5,67.0,,
40736836,,,,,,,,Beer & Wine Only,,Yes,,,,,,,,,Yes,,,,,,,Casual,,,,,,,,,,3.5,12.0,$11-30,
40761262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,4.5,74.0,,
40861252,,,,,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,DJ,,,A,3.0,515.0,Moderate,
40879015,,,,,,,,Beer & Wine Only,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,A,3.5,694.0,$11-30,
40906725,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,Casual,,,,,,,,,,3.0,1.0,Under $10,
40922983,,,,,,,,No,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,A,3.0,79.0,Under $10,
40942444,,,,,,,,Full Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,16.0,Moderate,
40951884,,,,,,,,No,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,A,2.5,44.0,Under $10,
40966076,,,,,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,Juke Box,,,A,3.5,328.0,Inexpensive,
40969077,,,,,,,,No,,,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,A,2.5,73.0,Under $10,
41012946,,,,,,,,No,,Yes,,,,,,,,,Yes,,,,,,,Casual,,,,,,,,,,3.5,3.0,Under $10,
41040365,,,,,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,A,3.5,339.0,$11-30,
41041142,,,,,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,A,3.5,315.0,$11-30,
41056088,,,,,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,A,4.0,513.0,Moderate,
41074207,,,,,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,Live,,,A,4.5,305.0,Moderate,
41090212,,,,,,,,Full Bar,,,,,,,,,,,Yes,,,,,,,Casual,,,,,,,,,A,4.0,97.0,$11-30,
41091640,,,,,,,,Full Bar,,No,,,,,,,,,No,,,,,,,Casual,,,,,,,,,A,2.5,150.0,$11-30,
41102997,,,,,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,DJ,,,A,2.5,405.0,Moderate,
41126055,,,,,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,Live,,,B,4.0,1005.0,Pricey,
41159730,,,,,,,,Full Bar,,No,,,,,,,Street,,No,,,,,,,Casual,,,,,,Juke Box,,,A,2.5,141.0,$11-30,
41162796,,,,,,,,Full Bar,,No,,,,,,,Street,,No,,,,,,,Casual,,,,,,,,,A,4.0,2791.0,$31-60,
41247222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,10.0,Pricey,
41252214,,,,,,,,Full Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,A,4.0,51.0,Moderate,
41289273,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,5.0,21.0,Under $10,
41296528,,,,,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,,,,A,2.5,39.0,Moderate,
41344075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,5.0,3.0,,
41363774,,,,,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,A,4.0,681.0,$11-30,
41371241,,,,,,,,,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,,4.0,622.0,Pricey,
41372091,,,,,,,,No,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,,4.5,89.0,Under $10,
41396476,,,,,,,,Full Bar,,No,,,,,,,Street,,No,,,,,,,Casual,,,,,,Background,,,A,3.5,128.0,$11-30,
41420036,,,,,,,,Full Bar,,Yes,,,,,,,Street,,No,,,,,,,Casual,,,,,,DJ,,,,4.0,474.0,$11-30,
41429540,,,,,,,,No,,No,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,A,4.0,476.0,$11-30,
41436874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,4.0,130.0,Pricey,
41456472,,,,,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,A,3.0,692.0,$11-30,
41458571,,,,,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,A,4.0,191.0,$11-30,
41462348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.0,,
41463394,,,,,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,A,3.0,281.0,$11-30,
41470760,,,,,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,DJ,,,A,3.5,34.0,Moderate,
41471964,,,,,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,A,4.0,108.0,$11-30,
41478031,,,,,,,,Beer & Wine Only,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,,3.0,107.0,Under $10,
41499185,,,,,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,A,3.5,779.0,$11-30,
41507371,,,,,,,,Beer & Wine Only,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,B,3.0,77.0,$11-30,
41519587,,,,,,,,,,,,,,,,,Street,,,,,,,,,,,,,,,,,,C,3.5,425.0,Moderate,
41530127,,,,,,,,Full Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,A,3.0,13.0,Inexpensive,
41614537,,,,,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,Juke Box,,,A,4.0,168.0,Moderate,
41618158,,,,,,,,,,No,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,A,4.0,71.0,Moderate,
41621240,,,,,,,,,,No,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,A,4.0,149.0,Moderate,
41625961,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,A,2.0,18.0,Inexpensive,
41628361,,,,,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,A,3.0,566.0,$11-30,
41628608,,,,,,,,Full Bar,,Yes,,,,,,,Street,,Yes,,,,,,,Dressy,,,,,,,,,A,4.0,2182.0,$31-60,
41631630,,,,,,,,Full Bar,,,,,,,,,Street,,,,,,,,,,,,,,,Live,,,A,4.5,398.0,Moderate,
41635392,,,,,,,,,,No,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,A,4.0,122.0,Moderate,
41640535,,,,,,,,No,,Yes,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,A,3.5,88.0,$11-30,
41642375,,,,,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,A,3.5,220.0,$11-30,
41659498,,,,,,,,Full Bar,,Yes,,,,,,,Valet,,No,,,,,,,Dressy,,,,,,,,,A,3.5,79.0,$31-60,
41664437,,,,,,,,Beer & Wine Only,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,A,3.5,406.0,$11-30,
41664553,,,,,,,,Full Bar,,No,,,,,,,Street,,Yes,,,,,,,Casual,,,,,,,,,A,3.5,380.0,$11-30,
41670151,,,,,,,,Beer & Wine Only,,Yes,,,,,,,Street,,Yes,,,,,,,,,,,,,,,,A,3.0,81.0,$11-30,
41680620,,,,,,,,Beer & Wine Only,,,,,,,,,Street,,,,,,,,,,,,,,,,,,,3.5,50.0,Moderate,
